,Theta,Loss,Time
021020.xlsx,"[  2.73362507  -2.73362506  14.72724724  10.64439671  22.20972602
 -16.2933559   24.90594348]",3119.8421081599618,490390625000
040920.xlsx,"[ 0.00000000e+00  3.17507964e+01  1.00000000e-06  2.45608412e+01
  1.85980962e+01 -2.44102170e+01  1.85667719e+01]",2221.5587867641016,504109375000
041220.xlsx,"[  1.90243681  -1.90243514   9.44797094 -14.58959642  16.12334802
  10.51561715  14.60474769]",4325.117083815244,508031250000
061120.xlsx,"[ 5.89738877e-11  2.66697078e+01  1.00000000e-06 -3.67245747e-02
  1.92321260e+01  2.11968615e-01  2.72344760e+01]",2145.499086214857,499937500000
090421.xlsx,"[ 1.48844537 -1.48844134 20.48547876 -2.55538423 13.28388927  0.98252239
  6.30974385]",5374.532269852051,517390625000
091020.xlsx,"[  4.42164452  -4.4216375    7.80234324  -1.69243138   8.27059751
 -10.67167428  29.94012501]",2982.987832774273,498656250000
110920.xlsx,"[ 2.71890901 -2.718909   10.86332022  0.67846375  9.85734735 -6.47647483
 21.56221429]",4877.565239342366,497671875000
111220.xlsx,"[ 1.35363448 -1.33391229 21.78582786  5.09150555 22.39842595 -7.24319674
 24.97006105]",3164.7143808278183,506937500000
131120.xlsx,"[ 2.19138621 -2.175605   16.41565476 -5.3297062  20.74517109  1.61056316
 12.32772078]",4731.146762673126,513140625000
160421.xlsx,"[ 3.88164162e-01  1.42494817e+01  1.00000000e-06 -3.82611972e+00
  4.86456682e-01  3.98591264e+01  1.98134973e+01]",5109191.977153835,529546875000
161020.xlsx,"[ 4.52506448e-02  3.93383272e+01  9.95583734e-03 -3.96713560e+01
  5.78457533e-05 -2.86880597e+00  1.85612327e-01]",3077.0944257400456,508468750000
180920.xlsx,"[ 6.06939500e-02  2.93506553e+01  1.05774290e-06  1.05874016e+00
  1.59265074e+01 -1.11082067e+00  1.18602198e+01]",3887.2859118452157,502875000000
181220.xlsx,"[ 1.66775134 -1.66775066  6.85846405  0.12733022 13.57977431 -4.1365683
 17.79478633]",4805.644147457254,509890625000
201120.xlsx,"[  2.51924584   2.04253276  15.98405742 -16.93295235   0.38965483
  10.64987448  11.67253183]",1136838.8428139053,504187500000
231020.xlsx,"[ 1.56798337 -1.45622381 25.56626012 -1.09807708 24.68726473 -0.95839293
 16.82509106]",8652.293691689945,490562500000
250920.xlsx,"[  0.08821716  -0.08809624   2.53304327 -12.02401434  18.72287778
  11.94861983  19.13915125]",2633.5283040107424,493109375000
251220.xlsx,"[ 1.4371894  -1.43718891  5.58172764 -6.21382888 16.82289584  2.68944579
 19.44949648]",5816.946105649336,502625000000
271120.xlsx,"[  2.04037517  -2.04037512  12.73418578 -13.79676088  20.19203404
   9.65075196  18.03848331]",3574.7105432957787,508625000000
301020.xlsx,"[0.00000000e+00 2.63061745e+01 1.00000000e-06 1.79039926e-01
 2.90514324e+01 3.59842194e+01 1.00000000e-06]",2142.4489299155143,510156250000
